00,-,ＫＤＤＩ,-,-,-,-,-,-,-,-
003,ＺＩＰ　Ｔｅｌｅｃｏｍ,アイ・ピー・エス,アイ・ピー・エス,ＮＴＴコミュニケーションズ,ＮＴＴコミュニケーションズ,ＮＴＴコミュニケーションズ,ＮＴＴ東日本,フュージョンコミュニケーションズ,フュージョンコミュニケーションズ,ＮＴＴ西日本
004,,ソフトバンクテレコム,ソフトバンクテレコム,ソフトバンクテレコム,ソフトバンクテレコム,ソフトバンクテレコム,ソフトバンクモバイル,,,
005,ＵＣＯＭ,ＫＤＤＩ,ＫＤＤＩ,ＫＤＤＩ,ＫＤＤＩ,ＫＤＤＩ,ＫＤＤＩ,ＫＤＤＩ,,
006,ＵＣＯＭ,ソフトバンクテレコム,ソフトバンクテレコム,ソフトバンクテレコム,,ソフトバンクテレコム,ソフトバンクテレコム,,,
007,ＫＤＤＩ,ベライゾンジャパン,ベライゾンジャパン,安子の電話,安子の電話,,,ＫＤＤＩ,,
008,Ｔシステムズ・ジャパン,フュージョンコミュニケーションズ,フュージョンコミュニケーションズ,ソフトバンクテレコム,ソフトバンクテレコム,ＮＴＴメディアクロス,九州通信ネットワーク,,ソフトバンクテレコム,Ｔシステムズ・ジャパン
,,,,,,,,,,
